,,,,,,,,,
,2022-2 경제학부 학생회비 통장 내역,,,,,,,,
,,,,,,  예금주 : 김서영  계좌번호 : 110-535-600136,,,
,날짜,내용, 수입, 지출, 잔액,사업,세부항목,영수증,
,,학생회비 이월," ₩ 10,119,613 ",,"₩10,119,613",,,,
,2022-06-18,03.19~06.17," ₩ 2,480 ",,"₩10,122,093",예금이자,예금이자,△,
,2022-06-30,이단비 토익,," ₩ 24,000 ","₩10,098,093",자격증 응시료 지원사업,토익 응시료 지원 24000,△,
,2022-06-30,김도은 한능검,," ₩ 11,000 ","₩10,087,093",자격증 응시료 지원사업,한국사 능력검정시험 응시료 지원 11000,△,
,2022-06-30,이동헌 한능검,," ₩ 11,000 ","₩10,076,093",자격증 응시료 지원사업,한국사 능력검정시험 응시료 지원 11000,△,
,2022-06-30,하상민 짝궁사,," ₩ 225,670 ","₩9,850,423",1학기 짝궁사업,짝궁 사업 지원금,○,
,2022-07-01,허의정 짝궁사,," ₩ 99,400 ","₩9,751,023",1학기 짝궁사업,짝궁 사업 지원금,○,
,2022-07-01,김서영 짝궁사,," ₩ 99,000 ","₩9,652,023",1학기 짝궁사업,짝궁 사업 지원금,○,
,2022-07-06,선물하기_카카," ₩ 58,000 ",,"₩9,710,023",1학기 짝궁사업,팔공티 블랙 밀크티 2000*29 환불,○,A
,2022-07-07,권지훈 환불,," ₩ 140,000 ","₩9,570,023",학생회비 환불,22학번 권x훈,△,
,2022-07-16,선물하기_카카,," ₩ 4,500 ","₩9,565,523",1학기 사업 만족도 조사,아이스 카페 아메리카노 T 4500*1,○,B
,2022-07-16,선물하기_카카,," ₩ 18,000 ","₩9,547,523",1학기 사업 만족도 조사,아이스 카페 아메리카노 T 4500*4,○,
,2022-07-17,안태현 환불,," ₩ 140,000 ","₩9,407,523",학생회비 환불,22학번 안x현,△,
,2022-07-18,선물하기_카카," ₩ 45,000 ",,"₩9,452,523",1학기 중간고사 야식사업,"BBQ 황금올리브 반마리+치즈스틱+콜라1.25L 15,000*3 환불",○,C
